Distance,Action,Reward
16.44876,Follow,-0.02
16.44876,ShootLaser,-0.05
16.42577,Patrol,0
16.42577,Follow,-0.02
16.42577,ShootLaser,-0.05
16.40391,Patrol,0
16.40391,Follow,-0.02
16.40391,ShootLaser,-0.05
16.38223,Patrol,0
16.38223,Follow,-0.02
16.38223,ShootLaser,-0.05
16.35991,Patrol,0
16.35991,Follow,-0.02
16.35991,ShootLaser,-0.05
16.338,Patrol,0
16.338,Follow,-0.02
16.338,ShootLaser,-0.05
16.31266,Patrol,0
16.31266,Follow,-0.02
16.31266,ShootLaser,-0.05
16.29026,Patrol,0
16.29026,Follow,-0.02
16.29026,ShootLaser,-0.05
16.26891,Patrol,0
16.26891,Follow,-0.02
16.26891,ShootLaser,-0.05
16.24868,Patrol,0
16.24868,Follow,-0.02
16.24868,ShootLaser,-0.05
16.22723,Patrol,-0.1
16.22723,Follow,-0.02
16.22723,ShootLaser,-0.05
16.20493,Patrol,-0.1
16.20493,Follow,-0.02
16.20493,ShootLaser,-0.05
16.18082,Patrol,-0.1
16.18082,Follow,-0.02
16.18082,ShootLaser,-0.05
16.15964,Patrol,-0.1
16.15964,Follow,-0.02
16.15964,ShootLaser,-0.05
16.13396,Patrol,-0.1
16.13396,Follow,-0.02
16.13396,ShootLaser,-0.05
16.10421,Patrol,-0.1
16.10421,Follow,-0.02
16.10421,ShootLaser,-0.05
16.07573,Patrol,-0.1
16.07573,Follow,-0.02
16.07573,ShootLaser,-0.05
16.04553,Patrol,-0.1
16.04553,Follow,-0.02
16.04553,ShootLaser,-0.05
16.0161,Patrol,-0.1
16.0161,Follow,-0.02
16.0161,ShootLaser,-0.05
15.98371,Patrol,-0.1
15.98371,Follow,-0.02
15.98371,ShootLaser,-0.05
15.95158,Patrol,-0.1
15.95158,Follow,-0.02
15.95158,ShootLaser,-0.05
15.92072,Patrol,-0.1
15.92072,Follow,-0.02
15.92072,ShootLaser,-0.05
15.89004,Patrol,-0.1
15.89004,Follow,-0.02
15.89004,ShootLaser,-0.05
15.82401,Patrol,-0.1
15.82401,Follow,-0.02
15.82401,ShootLaser,-0.05
15.6823,Patrol,-0.1
15.6823,Follow,-0.02
15.6823,ShootLaser,-0.05
15.56218,Patrol,-0.1
15.56218,Follow,-0.02
15.56218,ShootLaser,-0.05
15.35179,Patrol,-0.1
15.35179,Follow,-0.02
15.35179,ShootLaser,-0.05
15.10328,Patrol,-0.1
15.10328,Follow,-0.02
15.10328,ShootLaser,-0.05
14.85184,Patrol,-0.1
14.85184,Follow,-0.02
14.85184,ShootLaser,-0.05
14.55371,Patrol,-0.1
14.55371,Follow,-0.02
14.55371,ShootLaser,-0.05
14.27744,Patrol,-0.1
14.27744,Follow,-0.02
14.27744,ShootLaser,-0.05
14.03092,Patrol,-0.1
14.03092,Follow,-0.02
14.03092,ShootLaser,-0.05
13.77451,Patrol,-0.1
13.77451,Follow,-0.02
13.77451,ShootLaser,-0.05
13.53453,Patrol,-0.1
13.53453,Follow,-0.02
13.53453,ShootLaser,-0.05
13.29618,Patrol,-0.1
13.29618,Follow,-0.02
13.29618,ShootLaser,-0.05
13.02812,Patrol,-0.1
13.02812,Follow,-0.02
13.02812,ShootLaser,-0.05
12.75192,Patrol,-0.1
12.75192,Follow,-0.02
12.75192,ShootLaser,-0.05
12.50292,Patrol,-0.1
12.50292,Follow,-0.02
12.50292,ShootLaser,-0.05
12.23949,Patrol,-0.1
12.23949,Follow,-0.02
12.23949,ShootLaser,-0.05
11.97466,Patrol,-0.1
11.97466,Follow,-0.02
11.97466,ShootLaser,-0.05
11.48172,Patrol,-0.1
